dept_name,emp_no,first_name,last_name,birth_date,gender,title,from_date,to_date
Sales,39952,Otmar,Sudbeck,1965-01-02,M,Staff,1998-07-22,9999-01-01
Development,490568,Zita,Reistad,1965-01-01,M,Senior Engineer,1998-07-23,9999-01-01
Development,292515,Bernd,Thummel,1965-01-04,M,Engineer,1998-08-03,9999-01-01
Finance,217800,Shay,Servieres,1965-02-01,F,Senior Staff,1998-08-06,9999-01-01
Sales,236964,Adel,Foote,1965-01-17,M,Staff,1998-08-19,9999-01-01
Sales,52770,Shugo,Yurek,1965-01-31,M,Senior Staff,1998-08-28,9999-01-01
Production,415187,Juyoung,Peltason,1965-01-03,M,Assistant Engineer,1998-09-01,9999-01-01
Production,499260,Danae,Honglei,1965-01-11,M,Engineer,1998-09-14,9999-01-01
Human Resources,475538,Christophe,Leaver,1965-01-15,F,Staff,1998-10-31,9999-01-01
Customer Service,240285,Kolar,Greenaway,1965-01-23,M,Staff,1998-11-14,9999-01-01
Sales,245664,Manohar,Kilgore,1965-01-18,M,Staff,1998-11-17,9999-01-01
Development,288665,Horward,Khasidashvili,1965-01-31,M,Senior Engineer,1998-11-19,9999-01-01
Customer Service,280291,Lenore,Badache,1965-01-26,F,Staff,1998-11-24,9999-01-01
Production,56209,Remzi,Douceur,1965-01-19,M,Senior Engineer,1998-12-01,9999-01-01
Human Resources,251341,Divier,Kumaresan,1965-01-11,M,Senior Staff,1998-12-05,9999-01-01
Development,69936,Lalit,Unni,1965-01-23,F,Assistant Engineer,1998-12-06,9999-01-01
Marketing,205174,Leszek,Spinelli,1965-01-05,M,Staff,1998-12-10,9999-01-01
Production,264030,Zdislav,Solares,1965-01-15,M,Engineer,1998-12-14,9999-01-01
Production,432257,Kwangjo,Hiltgen,1965-01-20,F,Engineer,1998-12-22,9999-01-01
Production,17206,Berry,DeMori,1965-01-02,M,Senior Engineer,1998-12-27,9999-01-01
Human Resources,43733,Huei,Boguraev,1965-01-26,M,Senior Staff,1998-12-31,9999-01-01
Sales,53278,Premsyl,Lortz,1965-01-31,M,Senior Staff,1999-02-01,9999-01-01
Marketing,288560,Yifei,Birjandi,1965-01-16,M,Senior Staff,1999-02-07,9999-01-01
Development,287984,Troy,Kobuchi,1965-01-09,M,Senior Engineer,1999-02-12,9999-01-01
Production,469399,Hongzhu,Ruemmler,1965-01-25,F,Engineer,1999-02-14,9999-01-01
Production,253838,Stafford,Terlouw,1965-01-28,M,Assistant Engineer,1999-02-21,9999-01-01
Production,243077,Kazunori,Perz,1965-02-01,F,Senior Engineer,1999-02-25,9999-01-01
Quality Management,435791,Hercules,Speer,1965-01-07,M,Senior Engineer,1999-03-07,9999-01-01
Sales,230865,Takushi,Brattka,1965-01-02,M,Staff,1999-03-09,9999-01-01
Sales,426153,Shahaf,Luce,1965-01-16,M,Senior Staff,1999-04-06,9999-01-01
Research,413098,Hsiangchu,Taubenfeld,1965-01-26,M,Senior Staff,1999-04-17,9999-01-01
Development,30154,Mayuko,Skafidas,1965-01-26,M,Technique Leader,1999-04-19,9999-01-01
Development,458383,Mabhin,Foote,1965-01-06,M,Engineer,1999-04-23,9999-01-01
Human Resources,263012,Hideo,Buchter,1965-01-09,F,Staff,1999-05-01,9999-01-01
Research,422146,Kenton,Miara,1965-01-08,F,Engineer,1999-05-14,9999-01-01
Human Resources,487988,Ekawit,Schaft,1965-01-05,M,Senior Staff,1999-05-20,9999-01-01
Development,66807,Aiman,Rosaz,1965-01-21,F,Senior Engineer,1999-05-22,9999-01-01
Sales,297232,Lokesh,Saoudi,1965-01-16,F,Senior Staff,1999-05-25,9999-01-01
Finance,489756,Kersti,Miculan,1965-01-01,F,Senior Staff,1999-06-10,9999-01-01
Customer Service,99057,Shugo,Reeken,1965-01-30,M,Staff,1999-06-21,9999-01-01
Development,18810,Taiji,Jarecki,1965-01-09,M,Senior Engineer,1999-06-27,9999-01-01
Human Resources,14104,Sudhanshu,Demian,1965-01-03,M,Senior Staff,1999-07-23,9999-01-01
Development,103316,Susanne,Peternell,1965-01-03,M,Senior Engineer,1999-07-27,9999-01-01
Development,262210,Chinho,Bottner,1965-01-22,M,Senior Engineer,1999-07-30,9999-01-01
Development,281848,Parke,Staylopatis,1965-01-29,M,Senior Engineer,1999-07-31,9999-01-01
Development,107737,Fabrizio,Chleq,1965-01-23,M,Senior Engineer,1999-07-31,9999-01-01
Development,256881,Ioana,Jakobus,1965-01-03,M,Senior Engineer,1999-08-10,9999-01-01
Development,499495,Baoqiu,Kakkar,1965-01-14,M,Engineer,1999-08-30,9999-01-01
Production,232697,Barry,Ramsak,1965-01-23,F,Senior Engineer,1999-09-07,9999-01-01
Development,291669,Faiza,Bach,1965-01-04,F,Engineer,1999-09-13,9999-01-01
Development,72190,Sajjad,Waeselynck,1965-01-19,F,Engineer,1999-09-13,9999-01-01
Sales,287323,Steve,Dengi,1965-02-01,M,Staff,1999-09-15,9999-01-01
Production,233759,Zissis,Lodder,1965-01-14,F,Engineer,1999-09-25,9999-01-01
Sales,64828,Krister,Pappas,1965-01-27,F,Staff,1999-09-30,9999-01-01
Sales,206748,Yucai,Fabrizio,1965-01-07,F,Staff,1999-10-06,9999-01-01
Production,21181,Jianhui,Cangellaris,1965-01-21,F,Engineer,1999-10-06,9999-01-01
Research,108198,Randi,Samarati,1965-01-24,F,Senior Staff,1999-10-21,9999-01-01
Finance,56415,Sigeru,Nivat,1965-01-30,M,Senior Staff,1999-10-24,9999-01-01
Marketing,482755,Jouni,Conia,1965-01-03,M,Senior Staff,1999-10-31,9999-01-01
Production,79043,Katsuo,Hockney,1965-01-24,M,Technique Leader,1999-11-07,9999-01-01
Marketing,22455,Barry,Unno,1965-01-06,F,Senior Staff,1999-11-16,9999-01-01
Development,459172,Val,Rissanen,1965-01-19,F,Engineer,1999-11-20,9999-01-01
Development,488482,Kensyu,Tsunoo,1965-01-30,F,Engineer,1999-12-05,9999-01-01
Development,275158,Satyanarayana,Brandsma,1965-01-07,F,Engineer,1999-12-08,9999-01-01
Research,447376,Kirk,Zongker,1965-01-07,F,Staff,1999-12-10,9999-01-01
Production,496970,Giordano,Maquelin,1965-01-03,F,Senior Engineer,1999-12-31,9999-01-01
Sales,437395,Sumant,Thambidurai,1965-01-21,M,Senior Staff,2000-01-02,9999-01-01
Development,287609,Sailaja,Negoita,1965-01-06,F,Senior Engineer,2000-01-19,9999-01-01
Development,217080,Masami,Puoti,1965-01-12,M,Senior Engineer,2000-01-21,9999-01-01
Development,88411,Lena,Cannane,1965-01-31,F,Engineer,2000-01-28,9999-01-01
Development,92920,Huei,Hutter,1965-01-20,M,Senior Engineer,2000-01-29,9999-01-01
Development,203599,Ewing,DiGiano,1965-01-21,M,Technique Leader,2000-02-01,9999-01-01
Production,221435,Djenana,Marrevee,1965-01-06,M,Senior Engineer,2000-02-06,9999-01-01
Production,454994,Mohan,Picht,1965-01-01,M,Senior Engineer,2000-02-24,9999-01-01
Sales,10095,Hilari,Morton,1965-01-03,M,Senior Staff,2000-03-09,9999-01-01
Production,34452,Naftaly,Foong,1965-01-08,M,Senior Engineer,2000-05-09,9999-01-01
Sales,30938,Yakkov,Samarati,1965-01-06,F,Senior Staff,2000-05-22,9999-01-01
Development,434936,Sahrah,Rosis,1965-01-15,F,Senior Engineer,2000-06-23,9999-01-01
Quality Management,36982,Kotesh,Rajala,1965-01-22,M,Senior Engineer,2000-06-23,9999-01-01
Production,482885,Shaunak,Brizzi,1965-01-29,M,Senior Engineer,2000-09-01,9999-01-01
Customer Service,438264,Rasikan,Barreiro,1965-01-19,M,Senior Staff,2000-09-26,9999-01-01
Development,66702,Deniz,Thibadeau,1965-02-01,F,Senior Engineer,2000-09-26,9999-01-01
Human Resources,466745,Boalin,Birsak,1965-01-26,M,Senior Staff,2000-10-15,9999-01-01
Production,479407,Randi,Tomescu,1965-01-18,M,Senior Engineer,2000-11-25,9999-01-01
Sales,40269,Toshiki,Ghazalie,1965-01-10,F,Senior Staff,2000-12-04,9999-01-01
Human Resources,489755,Matk,Chorvat,1965-01-14,M,Senior Staff,2000-12-29,9999-01-01
Production,229981,Jamaludin,Fordan,1965-01-19,M,Senior Engineer,2001-02-05,9999-01-01
Marketing,220582,Poornachandra,Zielinski,1965-01-08,M,Senior Staff,2001-02-12,9999-01-01
Customer Service,77303,Xinglin,Birge,1965-01-18,F,Senior Staff,2001-03-05,9999-01-01
Marketing,107792,Shahab,Crooks,1965-01-13,M,Senior Staff,2001-03-18,9999-01-01
Research,206836,Guadalupe,Pfau,1965-01-12,M,Senior Staff,2001-03-22,9999-01-01
Production,265521,Kensei,Salverda,1965-01-04,M,Senior Engineer,2001-05-25,9999-01-01
Sales,447232,Aleksander,Schaaf,1965-01-22,M,Senior Staff,2001-05-25,9999-01-01
Marketing,420732,Willard,Morrin,1965-01-06,M,Senior Staff,2001-05-27,9999-01-01
Development,61253,Cheong,Uhrik,1965-01-09,M,Senior Engineer,2001-06-04,9999-01-01
Sales,423327,Constantijn,Lichtman,1965-01-27,F,Senior Staff,2001-06-26,9999-01-01
Production,490557,Luise,Vigier,1965-01-27,M,Senior Engineer,2001-07-01,9999-01-01
Customer Service,260408,Sasan,Brookner,1965-01-19,M,Senior Staff,2001-09-03,9999-01-01
Sales,83544,Leaf,Baak,1965-01-18,M,Senior Staff,2001-09-05,9999-01-01
Production,91229,Yahiko,Hebden,1965-01-01,M,Senior Engineer,2001-10-03,9999-01-01
Development,109211,Gor,Delgrande,1965-01-11,M,Senior Engineer,2001-11-06,9999-01-01
Sales,243576,Abdulah,Lodder,1965-01-04,M,Senior Staff,2001-11-10,9999-01-01
Production,93278,Magdalena,Penn,1965-02-01,F,Senior Engineer,2002-01-04,9999-01-01
Sales,265794,Miquel,Halloran,1965-01-15,M,Senior Staff,2002-01-14,9999-01-01
Production,498955,Nechama,Kandlur,1965-01-13,F,Senior Engineer,2002-01-16,9999-01-01
Production,63294,Tetsushi,Tanemo,1965-01-23,M,Senior Engineer,2002-03-01,9999-01-01
Quality Management,252185,Chaosheng,Conta,1965-01-01,F,Engineer,2002-04-14,9999-01-01
Sales,284431,Pintsang,Fujisawa,1965-01-25,M,Senior Staff,2002-04-16,9999-01-01
Development,18424,Filipp,Rousseau,1965-01-19,M,Senior Engineer,2002-06-07,9999-01-01
Production,35642,Ashish,Talmon,1965-01-30,F,Senior Engineer,2002-06-13,9999-01-01
Development,214866,Gopalakrishnan,Angel,1965-02-01,F,Senior Engineer,2002-07-05,9999-01-01
Production,452137,Subir,Miake,1965-01-15,M,Senior Engineer,2002-07-11,9999-01-01
